source_path	source_sha256	evidence_kind	evidence_count	cutover_disposition	cutover_status
crates/nuxie-renderer/src/generated/draw_msaa_path.webgpu_nossbo_vert.wgsl	87fb4feeb456ad7deda32108abed98c1c100e937401ffac44fb1a1e4be46770d	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_path.webgpu_vert.wgsl	b8ed43bed4d267f9accc8f66bd9a50dc620ca9213d35d5edeb938a03c88b9b78	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_stencil.frag.wgsl	19c24a23587f68a9f76393a440a0d49066c6b1db12dba2ff4a5fcb1ecc52cfe8	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_stencil.vert.wgsl	48281d6430ba5d445e2302682d90753d657cbdb69be809aa8ceee8c9dd4cf646	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_stencil.webgpu_fixedcolor_frag.wgsl	20e6453356b95f2d8edad1d92437361ddb8b9c127d143bdd1ee264cc5893d817	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_stencil.webgpu_frag.wgsl	20e6453356b95f2d8edad1d92437361ddb8b9c127d143bdd1ee264cc5893d817	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_stencil.webgpu_noclipdistance_vert.wgsl	48281d6430ba5d445e2302682d90753d657cbdb69be809aa8ceee8c9dd4cf646	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_stencil.webgpu_vert.wgsl	48281d6430ba5d445e2302682d90753d657cbdb69be809aa8ceee8c9dd4cf646	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/render_atlas.webgpu_nossbo_vert.wgsl	5d261b7e49e3ce458f6310845288b9c4e842ed19a579c597bb2ef964c93203ad	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/render_atlas.webgpu_vert.wgsl	5a11a6adb350656fad418aeb33c23fbdc3cbfbb4c50965f8d8ad0ba9a72c6e0e	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/render_atlas_fill.webgpu_frag.wgsl	d91872a41aab0f8aebd775e4d7ed79a648fbc17f55b479003bb21efe61de3a0c	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/render_atlas_stroke.webgpu_frag.wgsl	ebb88adb8bd50449931cb138d9de119bcd09f119279954c1626a08ef405d645b	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/tessellate.webgpu_frag.wgsl	c1ea894e7eaed8595c0b0dc2f5f0550bb423af6a4e729e9e1520580096f5b787	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
