campaign	corpus_entry	primary_backend_id	mode	stream_sha256	run_a_replay_sha256	run_b_replay_sha256	adapter	run_a_png_sha256	run_b_png_sha256	observed_different_pixels	observed_max_channel_delta	frozen_max_different_pixels	frozen_max_channel_delta	candidate_output_observed	status
vulkan	gm-bug6987-msaa	ffi-vulkan	msaa	058dfca75a294c5a2d85929da3bba1c86cf30f5d4672424c437d057a389df3e7	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	a9dd12b1db86c9d287e1499f4da9cf722fe49b34762a7bf49c7dd8f4263fe8a9	a9dd12b1db86c9d287e1499f4da9cf722fe49b34762a7bf49c7dd8f4263fe8a9	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug7792-clockwise-atomic	ffi-vulkan	clockwise-atomic	8e7b08808798aa407ce44f6dc34c3569bc52996f00587f5e3bb17d9c0066411d	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	a440e7f45c4a7f5b81eba539e1d4af3eb568de8d874e09e306c42bfc3157c74d	a440e7f45c4a7f5b81eba539e1d4af3eb568de8d874e09e306c42bfc3157c74d	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug7792-msaa	ffi-vulkan	msaa	8e7b08808798aa407ce44f6dc34c3569bc52996f00587f5e3bb17d9c0066411d	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	d371672a1e208c219539771ef4005aa0bbd6ad76f5f1eb76a3ab10dadaf5aca1	d371672a1e208c219539771ef4005aa0bbd6ad76f5f1eb76a3ab10dadaf5aca1	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-clippedcubic-clockwise-atomic	ffi-vulkan	clockwise-atomic	11e56f3a7bbc8e8ed205eb3cd8eb085ed024cc1a14903af76f3631ff340f293c	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	aebc58e5c6bb93e1eeec4d4d16664337c192041e788a69559c8cac5573f84bfa	aebc58e5c6bb93e1eeec4d4d16664337c192041e788a69559c8cac5573f84bfa	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-clippedcubic-msaa	ffi-vulkan	msaa	11e56f3a7bbc8e8ed205eb3cd8eb085ed024cc1a14903af76f3631ff340f293c	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	c1b6a4f3da8de4ee8162932b238508d06089344aa0f84fe91486095f88a1fc44	c1b6a4f3da8de4ee8162932b238508d06089344aa0f84fe91486095f88a1fc44	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-clippedcubic2-clockwise-atomic	ffi-vulkan	clockwise-atomic	f70dc764d7c0863cd9730ba39994894af34b8130768999d6d02c7397d82cdc9a	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	4295bef847c3febfd198dabe626e7156db7487b356b73813d2067776d45b1177	d2d69500f364386179d633062ba7e65ad3cdccb0a276979f2bad9bb166948124	0	1	0	1	false	frozen-source-repeatability
vulkan	gm-clippedcubic2-msaa	ffi-vulkan	msaa	f70dc764d7c0863cd9730ba39994894af34b8130768999d6d02c7397d82cdc9a	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	a3e612ab64ddbfa414ff0dbdb117fb952fdb715bf8f38d0fa100ad2df50d686c	a3e612ab64ddbfa414ff0dbdb117fb952fdb715bf8f38d0fa100ad2df50d686c	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-cliprectintersections-clockwise-atomic	ffi-vulkan	clockwise-atomic	622ecd8a6ef6f7fcffd6ede545858abc83304962b76890173a2d823e00426234	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	1c6d4dd74b5c6596d35fc9927283d28b405a535f241a6342d1ef677f690878e1	1c6d4dd74b5c6596d35fc9927283d28b405a535f241a6342d1ef677f690878e1	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-cliprectintersections-msaa	ffi-vulkan	msaa	622ecd8a6ef6f7fcffd6ede545858abc83304962b76890173a2d823e00426234	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	1c635a7bda40c4d337c5f44e581c630a7152c9a038b9771faafb7a52f3580b64	1c635a7bda40c4d337c5f44e581c630a7152c9a038b9771faafb7a52f3580b64	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-cliprects-clockwise-atomic	ffi-vulkan	clockwise-atomic	30c6896f14c1ad499373a7657a77003a2d02224e41154528f3e84e212f0cd529	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	0eab690d14a7d6b0126d0dae82c9915df496e125c27a2d050da4564246ff8e8c	a1bba8d59a1721cb511df5a500b4900846c94d0d539f9f5a90aa347bac0ff814	0	1	0	1	false	frozen-source-repeatability
